Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type,Status
1003334,Beijing,"Beijing,Beijing,China",20163,CN,City,Active
1003338,Tianjin,"Tianjin,Tianjin,China",20164,CN,City,Active
1003339,Chengde,"Chengde,Hebei,China",20165,CN,City,Active
1003341,Handan,"Handan,Hebei,China",20165,CN,City,Active
1003342,Hengshui,"Hengshui,Hebei,China",20165,CN,City,Active
1003343,Langfang,"Langfang,Hebei,China",20165,CN,City,Active
1003345,Qinhuangdao,"Qinhuangdao,Hebei,China",20165,CN,City,Active
1003347,Shijiazhuang,"Shijiazhuang,Hebei,China",20165,CN,City,Active
1003350,Zhangjiakou,"Zhangjiakou,Hebei,China",20165,CN,City,Active
1003351,Ankang,"Ankang,Shaanxi,China",20189,CN,City,Active
1003354,Hanzhong,"Hanzhong,Shaanxi,China",20189,CN,City,Active
1003355,Jincheng,"Jincheng,Shanxi,China",20166,CN,City,Active
1003356,Linfen,"Linfen,Shanxi,China",20166,CN,City,Active
1003358,Sanmenxia,"Sanmenxia,Henan,China",20178,CN,City,Active
1003362,Taiyuan,"Taiyuan,Shanxi,China",20166,CN,City,Active
1003363,Tongchuan,"Tongchuan,Shaanxi,China",20189,CN,City,Active
1003365,Baotou,"Baotou,Inner Mongolia,China",20167,CN,City,Active
1003366,Chifeng,"Chifeng,Inner Mongolia,China",20167,CN,City,Active
1003367,Hohhot,"Hohhot,Inner Mongolia,China",20167,CN,City,Active
1003368,Anshan,"Anshan,Liaoning,China",20168,CN,City,Active
1003369,Benxi,"Benxi,Liaoning,China",20168,CN,City,Active
1003370,Chaoyang,"Chaoyang,Liaoning,China",20168,CN,City,Active
1003371,Dalian,"Dalian,Liaoning,China",20168,CN,City,Active
1003372,Dandong,"Dandong,Liaoning,China",20168,CN,City,Active
1003373,Fushun,"Fushun,Liaoning,China",20168,CN,City,Active
1003374,Fuxin,"Fuxin,Liaoning,China",20168,CN,City,Active
1003376,Jinzhou,"Jinzhou,Liaoning,China",20168,CN,City,Active
1003377,Liaoyang,"Liaoyang,Liaoning,China",20168,CN,City,Active
1003378,Shenyang,"Shenyang,Liaoning,China",20168,CN,City,Active
1003379,Tieling,"Tieling,Liaoning,China",20168,CN,City,Active
1003380,Yingkou,"Yingkou,Liaoning,China",20168,CN,City,Active
1003381,Baicheng,"Baicheng,Jilin,China",20169,CN,City,Active
1003382,Changchun,"Changchun,Jilin,China",20169,CN,City,Active
1003384,Jilin,"Jilin,Jilin,China",20169,CN,City,Active
1003385,Liaoyuan,"Liaoyuan,Jilin,China",20169,CN,City,Active
1003386,Siping,"Siping,Jilin,China",20169,CN,City,Active
1003387,Tonghua,"Tonghua,Jilin,China",20169,CN,City,Active
1003390,Harbin,"Harbin,Heilongjiang,China",20170,CN,City,Active
1003391,Heihe,"Heihe,Heilongjiang,China",20170,CN,City,Active
1003392,Jiamusi,"Jiamusi,Heilongjiang,China",20170,CN,City,Active
1003393,Jixi,"Jixi,Heilongjiang,China",20170,CN,City,Active
1003396,Mudanjiang,"Mudanjiang,Heilongjiang,China",20170,CN,City,Active
1003397,Qiqihar,"Qiqihar,Heilongjiang,China",20170,CN,City,Active
1003398,Suihua,"Suihua,Heilongjiang,China",20170,CN,City,Active
1003401,Shanghai,"Shanghai,Shanghai,China",20171,CN,City,Active
1003404,Changzhou,"Changzhou,Jiangsu,China",20172,CN,City,Active
1003405,Huai'an,"Huai'an,Jiangsu,China",20172,CN,City,Active
1003406,Lianyungang,"Lianyungang,Jiangsu,China",20172,CN,City,Active
1003407,Nanjing,"Nanjing,Jiangsu,China",20172,CN,City,Active
1003408,Nantong,"Nantong,Jiangsu,China",20172,CN,City,Active
1003410,Suqian,"Suqian,Jiangsu,China",20172,CN,City,Active
1003411,Suzhou,"Suzhou,Jiangsu,China",20172,CN,City,Active
1003413,Wuxi,"Wuxi,Jiangsu,China",20172,CN,City,Active
1003414,Xuzhou,"Xuzhou,Jiangsu,China",20172,CN,City,Active
1003415,Yancheng,"Yancheng,Jiangsu,China",20172,CN,City,Active
1003416,Yangzhou,"Yangzhou,Jiangsu,China",20172,CN,City,Active
1003420,Hangzhou,"Hangzhou,Zhejiang,China",20173,CN,City,Active
1003421,Huzhou,"Huzhou,Zhejiang,China",20173,CN,City,Active
1003423,Jiaxing,"Jiaxing,Zhejiang,China",20173,CN,City,Active
1003424,Jinhua,"Jinhua,Zhejiang,China",20173,CN,City,Active
1003426,Lishui,"Lishui,Zhejiang,China",20173,CN,City,Active
1003427,Ningbo,"Ningbo,Zhejiang,China",20173,CN,City,Active
1003429,Shaoxing,"Shaoxing,Zhejiang,China",20173,CN,City,Active
1003430,Taizhou,"Taizhou,Zhejiang,China",20173,CN,City,Active
1003431,Wenzhou,"Wenzhou,Zhejiang,China",20173,CN,City,Active
1003433,Zhoushan,"Zhoushan,Zhejiang,China",20173,CN,City,Active
1003434,Anqing,"Anqing,Anhui,China",20174,CN,City,Active
1003435,Bengbu,"Bengbu,Anhui,China",20174,CN,City,Active
1003436,Chaohu,"Chaohu,Anhui,China",20174,CN,City,Active
1003437,Chuzhou,"Chuzhou,Anhui,China",20174,CN,City,Active
1003439,Fuyang,"Fuyang,Anhui,China",20174,CN,City,Active
1003441,Hefei,"Hefei,Anhui,China",20174,CN,City,Active
1003442,Huaibei,"Huaibei,Anhui,China",20174,CN,City,Active
1003443,Huainan,"Huainan,Anhui,China",20174,CN,City,Active
