Number,GPA,English
1,42.88,16.03
2,43.21,18.42
3,40.6,18
4,43.71,19.07
5,41.8,17.04
6,43.15,17.75
7,40.92,17.89
8,43.6,18.82
9,41.07,18.08
10,45.64,17.46
11,42.58,19.18
12,45.28,19.21
13,41.1,17.94
14,43.52,17.18
15,41.32,19.38
16,44.43,18.59
17,38.88,17.32
18,45.14,19.38
19,40.73,17.46
20,44.13,17.17
21,41.2,17.83
22,43.31,17.44
23,43.75,17.5
24,40.36,17.69
25,44.11,18.65
26,41.32,17.13
27,41.87,19.13
28,40.71,16.68
29,45.13,18
30,44.12,16.65
31,38.92,16.39
32,39.4,16.28
33,42.17,17.27
34,37.77,16.99
35,43.45,18.34
36,43.3,18.54
37,42.98,18.14
38,41.56,18.11
39,42.94,17.55
40,43.98,18
41,41.64,19.1
42,44.98,18.31
43,43.61,17.67
44,40.5,17.69
45,42.1,19.27
46,44.65,18.59
47,40.02,17.75
48,43.23,16.7
49,44.18,16.62
50,45.22,18.59
51,42.55,18.51
52,43.44,17.47
