"货币名称","现汇买入价","现钞买入价","现汇卖出价","现钞卖出价","中行折算价","发布日期","发布时间"
"澳大利亚元","457.02","442.9","461.62","461.62","458.17","2015-10-22","22:01:58"
"巴西里亚尔","","154.74","","169.25","161.11","2015-10-22","22:01:58"
"加拿大元","482.7","467.8","486.58","486.58","483.53","2015-10-22","22:01:58"
"瑞士法郎","651.81","631.69","657.05","657.05","661.63","2015-10-22","22:01:58"
"丹麦克朗","94.76","91.83","95.52","95.52","96.49","2015-10-22","22:01:58"
"欧元","706.03","684.21","713.13","713.13","720.06","2015-10-22","22:01:58"
"英镑","976.23","946.11","983.09","983.09","979.28","2015-10-22","22:01:58"
"港币","81.86","81.2","82.17","82.17","81.93","2015-10-22","22:01:58"
"印尼卢比","","0.0449","","0.0481","0.0464","2015-10-22","22:01:58"
"日元","5.2614","5.0991","5.2984","5.2984","5.2965","2015-10-22","22:01:58"
"韩国元","0.5587","0.5385","0.5631","0.5842","0.5574","2015-10-22","22:01:58"
"澳门元","79.57","76.9","79.88","82.44","79.55","2015-10-22","22:01:58"
"林吉特","152.16","","153.22","","148.91","2015-10-22","22:01:58"
"挪威克朗","76.72","74.35","77.34","77.34","77.58","2015-10-22","22:01:58"
"新西兰元","430.6","417.31","433.62","436.22","427.01","2015-10-22","22:01:58"
"菲律宾比索","13.63","13.2","13.73","14.16","13.66","2015-10-22","22:01:58"
"卢布","10.13","9.51","10.21","10.21","10.1","2015-10-22","22:01:58"
"瑞典克朗","75.38","73.05","75.98","75.98","76.24","2015-10-22","22:01:58"
"新加坡元","454.36","440.34","457.56","457.56","455.44","2015-10-22","22:01:58"
"泰国铢","17.77","17.22","17.91","18.46","17.81","2015-10-22","22:01:58"
"新台币","","18.94","","20.3","19.6","2015-10-22","22:01:58"
"美元","634.38","629.29","636.92","636.92","634.97","2015-10-22","22:01:58"
