Class,AngleCh1,AreaCh1,AvgIntenCh1,AvgIntenCh2,AvgIntenCh3,AvgIntenCh4,ConvexHullAreaRatioCh1,ConvexHullPerimRatioCh1,DiffIntenDensityCh1,DiffIntenDensityCh3,DiffIntenDensityCh4,EntropyIntenCh1,EntropyIntenCh3,EntropyIntenCh4,EqCircDiamCh1,EqEllipseLWRCh1,EqEllipseOblateVolCh1,EqEllipseProlateVolCh1,EqSphereAreaCh1,EqSphereVolCh1,FiberAlign2Ch3,FiberAlign2Ch4,FiberLengthCh1,FiberWidthCh1,IntenCoocASMCh3,IntenCoocASMCh4,IntenCoocContrastCh3,IntenCoocContrastCh4,IntenCoocEntropyCh3,IntenCoocEntropyCh4,IntenCoocMaxCh3,IntenCoocMaxCh4,KurtIntenCh1,KurtIntenCh3,KurtIntenCh4,LengthCh1,NeighborAvgDistCh1,NeighborMinDistCh1,NeighborVarDistCh1,PerimCh1,ShapeBFRCh1,ShapeLWRCh1,ShapeP2ACh1,SkewIntenCh1,SkewIntenCh3,SkewIntenCh4,SpotFiberCountCh3,SpotFiberCountCh4,TotalIntenCh1,TotalIntenCh2,TotalIntenCh3,TotalIntenCh4,VarIntenCh1,VarIntenCh3,VarIntenCh4,WidthCh1,XCentroid,YCentroid
PS,143.2477047,185,15.71186441,4.95480226,9.548022599,2.214689266,1.124508519,0.919682705,29.51923077,13.77564103,6.826923077,4.969780864,4.371017442,2.718883661,15.36953958,3.060676067,336.9691433,110.0963107,742.1156463,1900.995966,1,1,26.98132468,7.410365157,0.011183899,0.050448005,40.75177728,13.89543867,7.199457548,5.24974364,0.077419355,0.171974522,-0.656744087,-0.608058268,0.725814546,26.20778747,370.4542989,99.10349271,127.9608006,68.78337966,0.665147951,2.462449753,1.883006016,0.454504838,0.460393403,1.232773601,1,5,2781,701,1690,392,12.47467606,7.60903485,2.714099832,10.6429735,42,14
PS,133.7520367,819,31.92327366,206.8785166,69.9168798,164.1534527,1.263157895,0.797080137,31.875,43.12228261,79.30842391,6.087592192,6.642760653,7.880154718,32.30558435,1.558394192,2232.905485,1432.824568,3278.725624,17653.52453,1.487935411,1.352374247,64.28230161,13.16707906,0.028051061,0.012594975,8.227952946,6.984045666,6.822137584,7.098988428,0.153214774,0.073871409,-0.248769067,-0.3307839,-0.265263786,47.21854801,174.4441571,30.11114144,81.38063275,154.8987613,0.539758367,1.468180853,2.255810381,0.398704675,0.619730786,0.527263129,4,12,24964,160998,54675,128368,18.80922518,56.71535241,118.3881387,32.16126127,215,347
WS,106.6463873,431,28.03883495,116.315534,63.94174757,106.6966019,1.0533099,0.935474953,32.48771022,35.98576973,51.35705045,5.883556549,6.683000029,7.144601169,23.44891933,1.375386188,802.1945439,583.2503997,1727.410431,6750.98464,1.300521979,1.522315824,21.14114958,21.14114958,0.006862315,0.006141691,14.44607377,16.70084349,7.580100239,7.671478219,0.028350515,0.023195876,-0.29348463,1.051281336,0.150614006,28.14303145,158.477377,34.94476529,90.43768255,84.56459831,0.724311593,1.328408488,1.272192652,0.472487087,0.971378787,0.324706504,2,7,11552,47511,26344,43959,17.29564305,37.67105331,49.47052362,21.18552516,371,252
PS,69.15032481,298,19.45614035,102.2947368,28.21754386,31.02807018,1.202625103,0.865829114,26.73228346,22.91732283,26.39370079,5.420064932,5.436731689,5.778329481,19.50278596,3.391220219,724.71431,213.7031108,1194.931973,3884.083751,1.220423901,1.733250444,43.14112283,7.404412416,0.030962071,0.011033195,7.299457364,13.39088372,6.312640992,7.197026099,0.162790698,0.07751938,0.625856124,0.127740607,-0.347293645,37.85957374,206.3343687,33.0802981,116.892757,101.0910705,0.589162545,2.826853999,2.545840018,0.881671384,0.999892798,0.604439876,4,8,5545,28870,8042,8843,13.81896761,30.00564346,24.74953662,13.39282954,487,295
PS,2.887837295,285,24.27573529,112.4154412,20.47426471,40.57720588,1.109333333,0.956812415,31.58064516,21.70967742,25.03225806,5.658248451,5.285670516,5.235857325,19.0527942,2.741379896,607.5185151,221.6104801,1140.426304,3621.384612,1.491386912,1.384547147,34.74977439,8.483574385,0.022768411,0.079690842,15.85469104,3.538895134,6.778092643,5.502166171,0.127413127,0.278481013,0.042106843,0.952290026,-0.195418772,35.99414958,204.921279,27.02934703,110.9666246,86.46669755,0.600134696,2.727126824,2.018154661,0.517027228,1.17675337,0.925812293,1,8,6603,30306,5569,11037,15.40797156,20.50428756,45.45045698,13.19856094,283,159
WS,40.7482976,172,325.9333333,653.6060606,128.6909091,346.8545455,1.005830904,0.992636296,92.56291391,61.92715232,145.7086093,6.998110775,6.805538426,7.119322896,14.83939505,1.039725941,176.7693262,170.0153081,691.8027211,1710.988979,1.309503918,1.362191255,12.3841987,12.3841987,0.008914083,0.0091553,8.248344371,9.867549669,7.016333094,6.967390316,0.01986755,0.01986755,-0.196841369,-0.860799367,-0.405066941,16.20493828,231.9932555,15.92673845,95.96951898,49.53679479,0.686937524,1.043013017,1.086277823,-0.702595261,0.153202331,0.651166727,1,5,53779,107681,21234,57231,115.0046183,70.91844383,184.6929066,15.53665968,191,127
WS,173.957833,177,260.0591716,596.4201183,123.8402367,273.295858,1.014164306,0.984021104,89.22653722,47.81553398,139.2912621,6.896239126,6.660887424,7.032449481,15.01818939,1.088583037,187.4918475,172.2347687,708.5736961,1773.582328,1.244973482,1.54522523,12.59623659,12.59623659,0.008166438,0.008311984,12.88112694,17.40934227,7.172119846,7.142347553,0.019480519,0.019480519,0.250897694,-0.598314643,-0.825669562,15.91842863,230.2935451,15.92673845,94.8130712,50.38494637,0.746843548,1.068328926,1.091958476,-0.81606076,-0.224481857,0.102306209,0,5,43950,100627,20929,46187,93.38827164,47.29366186,124.4753061,14.90030667,180,138
PS,179.8004666,251,18.3375,5.729166667,17.23333333,1.554166667,1.200389105,0.8310554,28.61792453,19.22169811,5.382075472,5.318070001,5.085642707,2.295804071,17.89698382,2.866415024,514.8822837,179.625867,1006.258503,3001.498692,1,1,37.84863403,7.11739786,0.0061163,0.127326686,32.70217831,8.833733841,7.557944308,4.177876013,0.016431925,0.341232227,0.112969507,-0.748639693,2.033559253,29.70812327,218.2643718,29.31744313,105.7688068,89.93206378,0.68586591,2.406246306,2.389159963,0.66550394,0.01142938,1.61200785,2,8,4401,1136,4136,373,12.41263847,9.872295692,2.301535568,12.346252,373,181
WS,18.93641977,495,16.05285412,89.4820296,13.7167019,51.42706131,1.192307692,0.821960124,26.98403649,15.06613455,36.11744584,5.189203497,4.493851442,6.28118861,25.12492621,1.506683881,1032.819271,685.4916839,1983.1678,8304.490773,1.35524627,1.456271666,44.14773147,11.72888929,0.089600535,0.01922194,9.943647285,9.568662887,5.711782247,6.96081398,0.295194508,0.112128146,-0.219208563,1.884825147,-0.761011679,32.37445982,235.0062092,38.43037849,79.58161223,111.7532415,0.631820988,1.335671438,1.919298578,0.596743644,1.51738349,0.421893435,1,12,7593,41853,6488,24325,11.79257647,17.92302298,42.8378558,24.23834104,236,467
WS,153.2524268,384,17.74386921,89.93188011,20.44414169,63.11171662,1.160365059,0.864979173,25.76035503,18.23076923,38.0591716,5.334972565,5.32042493,6.740386428,22.13131689,1.755000148,761.8320257,434.0922858,1538.736961,5675.712549,1.762419891,1.659566387,37.24446626,10.7929942,0.012277917,0.008028741,18.13972339,12.33063725,7.309512215,7.406900651,0.086309524,0.047058824,0.144554913,-0.568119984,0.191843091,31.13588519,220.1542288,36.1826511,73.85063844,96.07492092,0.673802666,1.698051136,1.827275096,0.586817622,0.408254216,0.675698139,1,8,6512,32639,7503,23162,11.46656361,14.8665824,42.29642443,18.33624709,303,468
